borrower_id,age,location,employment_type,borrower_type,credit_score,traditional_payment_history_pct,credit_inquiries,utility_on_time_pct,rent_avg_days_late,mobile_disconnects,avg_bank_balance,overdraft_events,job_tenure_months,monthly_income,income_fluctuation_pct,existing_debt,is_default
B_000000,56,Suburban,Unemployed,Thin File,,,,58.130060404825656,4.95816381462115,0,1079.08,0,2.0,4256.85,45.83,1102.83,1
B_000001,69,Urban,Salaried,Traditional,660.3453214886935,70.4404201111841,1.0,60.71722752781219,4.755632268920334,0,3139.62,1,39.0,2569.61,6.21,40.87,0
B_000002,46,Urban,Self-Employed,Traditional,781.0661807294327,71.0188502718877,3.0,49.18734640091039,6.690173660326456,0,517.49,1,6.0,3919.33,9.49,650.99,0
B_000003,32,Rural,Salaried,Traditional,620.0433621710537,84.1135937710298,0.0,71.24053545149121,23.196737724497968,0,2253.38,0,9.0,6463.19,9.97,1458.34,1
B_000004,60,Urban,Self-Employed,Traditional,726.648661393055,73.6272612176124,0.0,83.21402754030963,,1,6439.06,2,91.0,17874.37,32.56,1180.48,0
B_000005,25,Urban,Gig Worker,Thin File,,,,63.95305147727234,,0,680.76,1,7.0,1593.49,43.64,363.98,1
B_000006,38,Suburban,Gig Worker,Thin File,,,,82.25249125601903,0.3289318731345883,0,2877.43,1,129.0,4843.21,23.87,7153.31,1
B_000007,56,Urban,Gig Worker,Traditional,653.0872104564914,82.6217668841058,3.0,74.57816833005744,3.6965619503273657,2,288.03,0,4.0,6388.55,23.68,2009.96,0
B_000008,36,Rural,Salaried,Traditional,602.8244554167695,93.47925218595017,1.0,89.74319859762547,18.426287545990828,2,16693.39,0,7.0,561.69,4.66,1746.35,0
B_000009,40,Suburban,Unemployed,Traditional,614.1703141488287,44.754955687242905,3.0,66.12410516126636,2.9881848127155086,0,3665.96,1,6.0,6662.56,5.45,3593.49,0
