borrower_id,age,location,employment_type,borrower_type,credit_score,traditional_payment_history_pct,credit_inquiries,utility_on_time_pct,rent_avg_days_late,mobile_disconnects,avg_bank_balance,overdraft_events,job_tenure_months,monthly_income,income_fluctuation_pct,existing_debt,is_default,savings_ratio,debt_to_income_ratio,income_stability_score,is_gig_worker,payment_reliability_score,risk_probability,risk_category
B_000000,56,Suburban,Unemployed,Thin File,,,,0.5895282296803168,0.0903007319898456,0.0,0.002182540818851,0.0,0.005813953488372,4256.85,45.83,1102.83,1,0.0002664218398094,0.002230822312489,0.0832166433286658,0,0.7676738952432047,0.39290496706962585,Medium Risk
B_000001,69,Urban,Salaried,Traditional,660.3453214886935,70.4404201111841,1.0,0.6158999766263965,0.0866121013506727,0.0,0.0063820894693771,0.1666666666666666,0.1133720930232558,2569.61,6.21,40.87,0,0.0012893092860311,0.0001239590363422,0.8757751550310064,0,0.7819663579079963,0.1627829372882843,Low Risk
B_000002,46,Urban,Self-Employed,Traditional,781.0661807294327,71.0188502718877,3.0,0.4983725449056217,0.121845173929055,0.0,0.0010379745757065,0.1666666666666666,0.0174418604651162,3919.33,9.49,650.99,0,0.000138094288049,0.0014252439757222,0.8101620324064815,0,0.7126327202740943,0.21905766427516937,Medium Risk
B_000003,32,Rural,Salaried,Traditional,620.0433621710537,84.1135937710298,0.0,0.7231671149311614,0.4224729983200097,0.0,0.0045758600362953,0.0,0.0261627906976744,6463.19,9.97,1458.34,1,0.0003669873358446,0.0019413002251788,0.8005601120224046,0,0.7348416579695778,0.48556986451148987,Medium Risk
B_000004,60,Urban,Self-Employed,Traditional,726.648661393055,73.62726121761239,0.0,0.8452164022082432,0.0629772888576298,0.1666666666666666,0.0131066174084084,0.3333333333333333,0.2645348837209302,17874.37,32.56,1180.48,0,0.0003792728860721,0.0005584879844729,0.3486697339467894,0,0.8703816811134995,0.2284688800573349,Medium Risk
B_000005,25,Urban,Gig Worker,Thin File,,,,0.648883671262528,0.0629772888576298,0.0,0.0013707321577828,0.1666666666666666,0.0203488372093023,1593.49,43.64,363.98,1,0.0004497878682366,0.0019644452703198,0.1270254050810162,1,0.8055486489739749,0.4909025728702545,Medium Risk
B_000006,38,Suburban,Gig Worker,Thin File,,,,0.8354151832056171,0.0059902769635972,0.0,0.0058477248558867,0.1666666666666666,0.375,4843.21,23.87,7153.31,1,0.0006263229515121,0.0127833454044799,0.5225045009001801,1,0.9159105085137292,0.6708968281745911,High Risk
B_000007,56,Urban,Gig Worker,Traditional,653.0872104564914,82.6217668841058,3.0,0.7571885775921654,0.0673236531601304,0.3333333333333333,0.0005703163728327,0.0,0.0116279069767441,6388.55,23.68,2009.96,0,4.623453651065329e-05,0.0027123079621282,0.5263052610522105,1,0.791730526181377,0.2576177418231964,Medium Risk
B_000008,36,Rural,Salaried,Traditional,602.8244554167695,93.47925218595016,1.0,0.9117701417642854,0.3355905888158471,0.3333333333333333,0.0340057786542706,0.0,0.0203488372093023,561.69,4.66,1746.35,0,0.0313505167522817,0.0268824388594051,0.9067813562712546,0,0.788541227570722,0.28289228677749634,Medium Risk
B_000009,40,Suburban,Unemployed,Traditional,614.1703141488287,44.754955687242905,3.0,0.6710138529009494,0.054422247579863,0.0,0.0074548133362847,0.1666666666666666,0.0174418604651162,6662.56,5.45,3593.49,0,0.0005799897952782,0.0046596509031772,0.8909781956391278,0,0.8191802521765157,0.32493773102760315,Medium Risk
B_000010,28,Urban,Unemployed,Traditional,617.2892638191762,85.50274730779738,0.0,0.0678364214392562,0.1322443248107706,0.3333333333333333,0.0033041990248635,0.0,0.2761627906976744,814.86,8.38,1072.82,1,0.0021092105236202,0.0113818771489809,0.8323664732946592,0,0.4275782466097303,0.4379744231700897,Medium Risk
B_000011,28,Rural,Salaried,Traditional,679.7623750142276,57.97640677516589,4.0,0.847395041052862,0.0447609132536263,0.0,0.0028048078915497,0.0,0.1976744186046511,2931.31,0.58,2463.23,0,0.0004975272674211,0.0072660673481811,0.9883976795359072,0,0.910269246550343,0.14064252376556396,Low Risk
B_000012,41,Urban,Gig Worker,Traditional,555.5091855620846,76.62934702114961,4.0,0.768647830500532,0.2816010741589025,0.1666666666666666,0.0004023173069262,0.1666666666666666,0.002906976744186,13401.9,45.25,836.09,1,1.4807360612574348e-05,0.000526785237718,0.0948189637927587,1,0.7665102596692619,0.6917707920074463,High Risk
B_000013,53,Urban,Salaried,Traditional,580.2057107982325,69.18835622917288,1.0,0.6986810661769695,0.0443694821076729,0.0,0.0062994044990528,0.1666666666666666,0.4273255813953488,3654.97,2.86,1036.44,0,0.0008944038855133,0.0024429842457271,0.9427885577115424,0,0.8360296884561829,0.10386236757040024,Low Risk
B_000014,57,Urban,Self-Employed,Thin File,,,,0.9540917660390772,0.1524442465277802,0.0,0.0011942342916236,0.1666666666666666,0.0203488372093023,2890.26,17.59,1348.0,1,0.0002157688556743,0.0040266518867659,0.6481296259251852,0,0.9313126090612044,0.27472537755966187,Medium Risk
B_000015,41,Urban,Salaried,Traditional,669.7859964468868,92.84035103980082,1.0,0.7594442853547893,0.1401393253060716,0.3333333333333333,0.0023207635126491,0.1666666666666666,0.1395348837209302,1598.51,5.96,2440.34,1,0.0007563487745765,0.0132080560974126,0.8807761552310465,0,0.7710136784189066,0.28241997957229614,Medium Risk
